Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675467682.5916312,0,85286,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467683.5919042,0,85287,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467684.591922,0,85288,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467685.5916154,0,85289,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467686.5909748,0,85290,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467687.5918212,0,85291,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467688.592578,0,85292,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467689.5915668,0,85293,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467690.5907564,0,85294,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467691.5943854,0,85295,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467692.593598,0,85296,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467693.5935626,0,85297,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467694.6284573,0,85298,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467695.5935059,0,85299,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467696.5946488,0,85300,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467697.5930874,0,85301,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467698.5929239,0,85302,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,1.9,330521.54429869173,4674389.9780729385,0.0,19,T
1675467699.5933278,0,85303,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467700.5920806,0,85304,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467701.5915577,0,85305,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467702.5910957,0,85306,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467703.5916202,0,85307,0,GPS1_Frame,42.20331,-71.05291000000001,22.4,2.0,330521.54429869173,4674389.9780729385,0.0,19,T
1675467704.6273527,0,85308,0,GPS1_Frame,42.203309,-71.05291000000001,22.4,2.0,330521.5416248876,4674389.867033066,0.0,19,T
1675467705.5926306,0,85309,0,GPS1_Frame,42.203309,-71.05291000000001,22.4,1.9,330521.5416248876,4674389.867033066,0.0,19,T
1675467706.592568,0,85310,0,GPS1_Frame,42.203309,-71.05291000000001,22.4,1.9,330521.5416248876,4674389.867033066,0.0,19,T
1675467707.5924895,0,85311,0,GPS1_Frame,42.203309,-71.05291000000001,22.4,1.9,330521.5416248876,4674389.867033066,0.0,19,T
1675467708.5930839,0,85312,0,GPS1_Frame,42.203309,-71.05291000000001,22.4,1.9,330521.5416248876,4674389.867033066,0.0,19,T
1675467709.5925796,0,85313,0,GPS1_Frame,42.203307,-71.052911,22.0,1.9,330521.45371854573,4674389.64694131,0.0,19,T
1675467710.6280968,0,85314,0,GPS1_Frame,42.203307,-71.052911,22.0,1.9,330521.45371854573,4674389.64694131,0.0,19,T
1675467711.5928078,0,85315,0,GPS1_Frame,42.203306000000005,-71.05291000000001,22.0,1.9,330521.53360347543,4674389.533913451,0.0,19,T
1675467712.6278837,0,85316,0,GPS1_Frame,42.203305,-71.05291199999999,21.2,1.9,330521.36581219884,4674389.426849554,0.0,19,T
1675467713.5931711,0,85317,0,GPS1_Frame,42.203303,-71.05291199999999,20.8,1.9,330521.3604645858,4674389.204769809,0.0,19,T
1675467714.5915363,0,85318,0,GPS1_Frame,42.203303,-71.05291199999999,20.8,1.9,330521.3604645858,4674389.204769809,0.0,19,T
1675467715.591643,0,85319,0,GPS1_Frame,42.203303,-71.05291199999999,20.8,1.9,330521.3604645858,4674389.204769809,0.0,19,T
1675467716.592102,0,85320,0,GPS1_Frame,42.203303,-71.05291199999999,20.8,1.9,330521.3604645858,4674389.204769809,0.0,19,T
1675467717.5923603,0,85321,0,GPS1_Frame,42.203303,-71.05291199999999,20.8,1.9,330521.3604645858,4674389.204769809,0.0,19,T
1675467718.591928,0,85322,0,GPS1_Frame,42.203303,-71.05291199999999,20.8,1.9,330521.3604645858,4674389.204769809,0.0,19,T
1675467719.6277044,0,85323,0,GPS1_Frame,42.203302,-71.052911,20.8,1.9,330521.4403495197,4674389.091741949,0.0,19,T
1675467720.5915377,0,85324,0,GPS1_Frame,42.203298000000004,-71.052907,20.8,1.9,330521.7598892901,4674388.639630514,0.0,19,T
1675467721.591175,0,85325,0,GPS1_Frame,42.203296,-71.052907,20.5,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467722.5926218,0,85326,0,GPS1_Frame,42.203296,-71.052907,20.5,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467723.5941446,0,85327,0,GPS1_Frame,42.203296,-71.052907,20.5,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467724.5948644,0,85328,0,GPS1_Frame,42.203296,-71.052907,20.5,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467725.593538,0,85329,0,GPS1_Frame,42.203296,-71.052907,20.5,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467726.5928073,0,85330,0,GPS1_Frame,42.203296,-71.052907,20.4,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467727.5940628,0,85331,0,GPS1_Frame,42.203296,-71.052907,20.4,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467728.593928,0,85332,0,GPS1_Frame,42.203296,-71.052907,20.4,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467729.5948222,0,85333,0,GPS1_Frame,42.203296,-71.052907,20.4,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467730.592936,0,85334,0,GPS1_Frame,42.203296,-71.052907,20.4,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467731.5932224,0,85335,0,GPS1_Frame,42.203296,-71.052907,20.4,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467732.593748,0,85336,0,GPS1_Frame,42.203296,-71.052907,20.4,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467733.5927126,0,85337,0,GPS1_Frame,42.203296,-71.052907,20.4,2.0,330521.7545416908,4674388.417550771,0.0,19,T
1675467734.593806,0,85338,0,GPS1_Frame,42.203296,-71.052907,20.4,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467735.5943666,0,85339,0,GPS1_Frame,42.203296,-71.052907,20.4,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467736.5939584,0,85340,0,GPS1_Frame,42.203296,-71.052907,20.4,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467737.593003,0,85341,0,GPS1_Frame,42.203296,-71.052907,20.4,1.9,330521.7545416908,4674388.417550771,0.0,19,T
1675467738.5933034,0,85342,0,GPS1_Frame,42.203296,-71.052907,20.4,1.9,330521.7545416908,4674388.417550771,0.0,19,T
